2013, HOU, AL, 3, 8, 7, 0, 2, 0, 0, 0, 1, 0, 2, 0, 0, 1, .286, .375, .286, .661, 
2014, HOU, AL, 7, 20, 20, 2, 7, 2, 0, 0, 4, 0, 6, 0, 0, 0, .350, .350, .450, .800, 
2015, HOU, AL, 11, 17, 15, 4, 6, 0, 0, 1, 2, 1, 5, 0, 0, 0, .400, .438, .600, 1.038, 
2016, HOU, AL, 9, 13, 13, 1, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, .077, .077, .077, .154, 
2017, HOU, AL, 14, 31, 24, 5, 4, 1, 0, 2, 4, 6, 4, 0, 0, 0, .167, .323, .458, .781, 
2018, HOU, AL, 88, 250, 221, 28, 50, 13, 0, 8, 27, 23, 74, 0, 0, 6, .226, .316, .394, .710, 
2019, 2 Teams, 51, 147, 132, 7, 18, 1, 0, 1, 5, 12, 49, 0, 0, 1, .136, .211, .167, .378, 
2019, LAA, AL, 20, 49, 42, 3, 3, 0, 0, 0, 2, 5, 15, 0, 0, 0, .071, .163, .071, .235, 
2019, HOU, AL, 31, 98, 90, 4, 15, 1, 0, 1, 3, 7, 34, 0, 0, 1, .167, .235, .211, .446, 
2020, LAA, AL, 18, 52, 45, 6, 11, 0, 0, 4, 11, 5, 8, 0, 0, 1, .244, .327, .511, .838, 
8 Seasons, 201, 538, 477, 53, 99, 17, 0, 16, 54, 47, 153, 0, 0, 9, .208, .289, .344, .632, 
2013, HOU, AL, 8, 2, 3, 0, 0, .400, 0, 1, 1, 29, 3.625, .250, .000, .---, .000, .000, 0, 
2014, HOU, AL, 20, 9, 6, 0, 0, .500, 2, 0, 2, 77, 3.850, .300, .000, .---, .100, .100, 0, 
2015, HOU, AL, 17, 9, 6, 1, 0, .556, 1, 1, 2, 66, 3.882, .294, .059, .200, .200, .200, 0, 
2016, HOU, AL, 13, 1, 9, 0, 0, .125, 0, 0, 0, 51, 3.923, .385, .000, .---, .000, .000, 0, 
2017, HOU, AL, 31, 11, 13, 0, 1, .105, 3, 2, 4, 131, 4.226, .129, .065, 1.500, .292, .292, 0, 
2018, HOU, AL, 250, 87, 77, 0, 0, .302, 21, 6, 32, 952, 3.808, .296, .032, .311, .167, .167, 0, 
2019, 2 Teams, 147, 22, 58, 0, 2, .202, 557, 
2019, LAA, AL, 49, 3, 10, 0, 2, .103, 0, 2, 4, 191, 3.898, .306, .000, .333, .000, .000, 0, 
2019, HOU, AL, 98, 19, 48, 0, 0, .255, 2, 1, 12, 366, 3.735, .347, .010, .206, .044, .044, 0, 
2020, LAA, AL, 52, 23, 20, 0, 1, .206, 4, 2, 10, 190, 3.654, .154, .077, .625, .267, .267, 0, 
538, 164, 192, 1, 4, .266, 33, 15, 67, 2053, 3.816, .284, .030, .307, .136, .136, 0, 
