2013, COL, NL, 69, 213, 194, 32, 51, 13, 5, 5, 17, 16, 41, 2, 2, 0, .263, .316, .459, .775, 
2014, COL, NL, 131, 478, 436, 74, 136, 27, 6, 24, 76, 37, 101, 8, 7, 1, .312, .364, .567, .931, 
2015, COL, NL, 65, 234, 224, 30, 68, 18, 2, 10, 31, 10, 56, 0, 1, 0, .304, .333, .536, .869, 
2016, TB, AL, 148, 548, 510, 57, 125, 36, 3, 24, 70, 33, 134, 0, 2, 2, .245, .293, .469, .761, 
2017, TB, AL, 150, 629, 588, 84, 166, 33, 4, 27, 62, 35, 152, 4, 3, 3, .282, .325, .490, .815, 
2018, PIT, NL, 135, 533, 504, 65, 151, 35, 7, 13, 55, 21, 80, 8, 3, 4, .300, .330, .474, .804, 
2019, 2 Teams, 78, 279, 260, 33, 79, 28, 2, 12, 59, 16, 56, 1, 0, 0, .304, .341, .565, .906, 
2019, PIT, NL, 44, 142, 127, 20, 40, 18, 0, 4, 25, 13, 23, 1, 0, 0, .315, .373, .551, .924, 
2019, PHI, NL, 34, 137, 133, 13, 39, 10, 2, 8, 34, 3, 33, 0, 0, 0, .293, .307, .579, .886, 
2020, MIA, NL, 28, 113, 103, 12, 23, 2, 0, 4, 9, 10, 18, 0, 1, 0, .223, .292, .359, .651, 
8 Seasons, 804, 3027, 2819, 387, 799, 192, 29, 119, 379, 178, 638, 23, 19, 10, .283, .326, .499, .825, 
2013, COL, NL, 213, 89, 68, 1, 2, .307, 23, 1, 31, 868, 4.075, .192, .023, .390, .196, .196, 1, 
2014, COL, NL, 478, 247, 165, 0, 4, .356, 57, 6, 61, 1905, 3.985, .211, .050, .366, .255, .255, 1, 
2015, COL, NL, 234, 120, 74, 0, 0, .367, 30, 3, 28, 898, 3.838, .239, .043, .179, .232, .232, 0, 
2016, TB, AL, 548, 239, 245, 0, 2, .285, 63, 12, 74, 2111, 3.852, .245, .044, .246, .224, .224, 0, 
2017, TB, AL, 629, 288, 197, 0, 2, .338, 64, 11, 75, 2493, 3.963, .242, .043, .230, .207, .207, 0, 
2018, PIT, NL, 533, 239, 188, 0, 4, .333, 55, 14, 81, 1986, 3.726, .150, .024, .263, .175, .175, 1, 
2019, 2 Teams, 279, 147, 109, 0, 3, .344, 1179, 
2019, PIT, NL, 142, 70, 57, 0, 2, .353, 22, 3, 23, 596, 4.197, .162, .028, .565, .236, .236, 1, 
2019, PHI, NL, 137, 77, 52, 0, 1, .333, 20, 1, 12, 583, 4.255, .241, .058, .091, .286, .286, 0, 
2020, MIA, NL, 113, 37, 45, 0, 0, .235, 6, 2, 17, 460, 4.071, .159, .035, .556, .136, .136, 0, 
3027, 1406, 1091, 1, 17, .327, 340, 53, 402, 11900, 3.931, .211, .039, .279, .215, .215, 4, 
