2014, ATL, NL, 93, 360, 319, 22, 80, 16, 1, 1, 31, 36, 40, 2, 1, 1, .251, .328, .317, .644, 
2015, CHC, NL, 33, 75, 67, 4, 18, 6, 0, 1, 11, 5, 7, 2, 0, 1, .269, .324, .403, .727, 
2016, CHC, NL, 74, 169, 148, 17, 40, 12, 1, 2, 11, 18, 27, 0, 1, 2, .270, .357, .405, .763, 
2017, CHC, NL, 73, 151, 125, 18, 36, 8, 0, 5, 22, 20, 18, 0, 0, 2, .288, .389, .472, .861, 
2018, CHC, NL, 123, 192, 169, 23, 45, 8, 0, 1, 19, 17, 27, 0, 1, 2, .266, .340, .331, .672, 
2019, LAA, AL, 80, 321, 292, 49, 86, 8, 0, 16, 44, 20, 28, 0, 0, 3, .295, .346, .486, .832, 
2020, 2 Teams, 29, 120, 102, 15, 27, 8, 0, 4, 15, 15, 7, 1, 0, 1, .265, .361, .461, .822, 
2020, LAA, AL, 28, 117, 99, 15, 27, 8, 0, 4, 14, 15, 7, 1, 0, 1, .273, .371, .475, .845, 
2020, OAK, AL, 1, 3, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, .000, .000, .000, .000, 
7 Seasons, 505, 1388, 1222, 148, 332, 66, 2, 30, 153, 131, 154, 5, 3, 12, .272, .347, .403, .749, 
2014, ATL, NL, 360, 101, 113, 3, 1, .283, 18, 8, 41, 1489, 4.136, .111, .003, .900, .066, .066, 0, 
2015, CHC, NL, 75, 27, 27, 0, 1, .283, 7, 1, 8, 322, 4.293, .093, .013, .714, .134, .134, 0, 
2016, CHC, NL, 169, 60, 65, 0, 0, .319, 15, 2, 24, 698, 4.130, .160, .012, .667, .135, .135, 0, 
2017, CHC, NL, 151, 59, 53, 0, 2, .298, 13, 3, 26, 633, 4.192, .119, .033, 1.111, .184, .184, 0, 
2018, CHC, NL, 192, 56, 84, 0, 0, .312, 9, 5, 31, 725, 3.776, .141, .005, .630, .065, .065, 0, 
2019, LAA, AL, 321, 142, 130, 0, 0, .282, 24, 8, 46, 1209, 3.766, .087, .050, .714, .192, .192, 0, 
2020, 2 Teams, 120, 47, 37, 1, 1, .250, 479, 
2020, LAA, AL, 117, 47, 36, 1, 1, .258, 12, 3, 23, 468, 4.000, .060, .034, 2.143, .202, .202, 1, 
2020, OAK, AL, 3, 0, 1, 0, 0, .000, 0, 0, 0, 11, 3.667, .000, .000, .---, .000, .000, 0, 
1388, 492, 509, 4, 5, .290, 98, 30, 199, 5555, 4.002, .111, .022, .851, .131, .131, 1, 
